Ιστοσελίδα,Ημερομηνία,Ώρα,Θερμοκρασία,Μποφόρ,Υγρασία
k24.net,14/05,03:00,8,2,84
k24.net,14/05,06:00,7,2,82
k24.net,14/05,09:00,16,3,51
k24.net,14/05,12:00,20,4,33
k24.net,14/05,15:00,21,4,27
k24.net,14/05,18:00,20,4,29
k24.net,14/05,21:00,12,3,57
k24.net,15/05,00:00,11,2,50
k24.net,15/05,03:00,11,2,47
k24.net,15/05,06:00,11,2,49
k24.net,15/05,09:00,17,3,44
k24.net,15/05,12:00,21,4,33
k24.net,15/05,15:00,21,5,41
k24.net,15/05,18:00,19,3,43
k24.net,15/05,21:00,11,3,77
k24.net,16/05,00:00,9,2,84
k24.net,16/05,03:00,8,2,85
k24.net,16/05,06:00,8,2,85
k24.net,16/05,09:00,14,1,61
k24.net,16/05,12:00,21,2,33
k24.net,16/05,15:00,23,3,35
k24.net,16/05,18:00,20,4,43
k24.net,16/05,21:00,13,1,65
k24.net,17/05,00:00,10,2,81
k24.net,17/05,03:00,11,1,67
k24.net,17/05,06:00,11,1,63
k24.net,17/05,09:00,18,2,46
k24.net,17/05,12:00,24,2,31
k24.net,17/05,15:00,27,1,29
k24.net,17/05,18:00,25,1,38
k24.net,17/05,21:00,17,2,58
k24.net,18/05,00:00,15,2,58
k24.net,18/05,03:00,14,2,53
k24.net,18/05,06:00,14,2,50
k24.net,18/05,09:00,21,1,43
k24.net,18/05,12:00,27,4,23
k24.net,18/05,15:00,29,4,20
k24.net,18/05,18:00,26,4,25
k24.net,18/05,21:00,17,3,44
k24.net,19/05,00:00,16,3,50
k24.net,19/05,03:00,15,3,46
k24.net,19/05,06:00,14,2,45
k24.net,19/05,09:00,21,3,37
k24.net,19/05,12:00,24,5,27
k24.net,19/05,15:00,24,4,37
k24.net,19/05,18:00,20,5,39
k24.net,19/05,21:00,11,2,68
k24.net,20/05,00:00,10,2,72
k24.net,20/05,03:00,8,2,73
k24.net,20/05,06:00,7,2,85
k24.net,20/05,09:00,15,3,55
k24.net,20/05,12:00,19,4,33
k24.net,20/05,15:00,20,3,29
