Ιστοσελίδα,Θερμοκρασία,Υγρασία
meteo.gr,25,27
meteo.gr,22,31
meteo.gr,16,51
meteo.gr,12,93
meteo.gr,13,90
meteo.gr,10,94
meteo.gr,16,53
meteo.gr,20,41
meteo.gr,23,32
meteo.gr,20,42
meteo.gr,14,71
meteo.gr,10,85
meteo.gr,8,84
meteo.gr,7,95
meteo.gr,15,48
meteo.gr,21,29
meteo.gr,22,26
meteo.gr,21,31
meteo.gr,15,51
meteo.gr,11,62
meteo.gr,9,70
meteo.gr,8,74
meteo.gr,17,36
meteo.gr,23,25
meteo.gr,23,26
meteo.gr,21,25
meteo.gr,15,68
meteo.gr,13,87
meteo.gr,11,91
meteo.gr,11,91
meteo.gr,14,65
meteo.gr,18,47
meteo.gr,20,40
meteo.gr,19,49
meteo.gr,14,83
meteo.gr,12,81
meteo.gr,11,85
meteo.gr,10,90
meteo.gr,17,42
meteo.gr,23,31
meteo.gr,25,31
meteo.gr,22,43
meteo.gr,17,62
meteo.gr,13,81
meteo.gr,11,77
